X,Y,OBJECTID,StationName,WXID,ObservedDate,NESSID,NWSID,Elevation,SiteDescription,Latitude,Longitude,State,County,Agency,Region,Unit,SubUnit,Status,RainAccumulation,WindSpeedMPH,WindDirDegrees,AirTempStandPlace,FuelTemp,RelativeHumidity,BatteryVoltage,FuelMoisture,WindDirPeak,WindSpeedPeak,SolarRadiation,StationID
-90.08306,44.0286100000001,1,NECEDAH,17372963,2023/01/09 13:47:59+00,8376139A,474301,950,,44.02861,-90.08306,WI,Juneau,S&PF,WISCONSIN,DNR,WI DNR,A,.67 inches,0 mph,155 degrees ,6 deg. F,4 deg. F ,83 % ,13.2 volts,19.2 (unk),330 degrees,3 mph,2 w/m2,17372963
-84.65417,36.4750000000001,2,BISO-NP,17246242,2022/03/15 12:54:00+00,FA6321D4,400902,1445,,36.475,-84.65417,TN,Scott,NPS,SOUTHEAST,BIG SOUTH FORK NRRA,,1,14.94 inches,0 mph,197 degrees ,41 deg. F,41 deg. F ,75 % ,12.9 volts,12.6 (unk),300 degrees,2 mph,37 w/m2,17246242
-105.02978,46.3073900000001,3,KNOWLTON,16831540,2022/05/02 22:40:00+00,325AE3F8,244102,3320,SITE IS LOCATED ON A SMALL KNOLL APPROX. 30 YDS. IN CIRCUM.ONE OF HIGHEST POINTS AROUND. ENTIRE AREA IS ROLLING HILLSWITH 3O' PINES .25 MILES TO THE SW AND 100 YDS DOWNHILL FROMTHE STATION. FOILAGE IS ANNUAL GRASS AND VERY SPARSE SAGE,46.30739,-105.02978,MT,Prairie,BLM,MONTANA,MILES CITY,WASHINGTON D.C.,A,1.59 inches,11 mph,180 degrees ,55 deg. F,NO DATA,44 % ,13.7 volts,NO DATA,198 degrees,22 mph,442 w/m2,16831540
-122.57,38.0394400000001,4,BIG ROCK,17414417,2022/08/03 15:33:59+00,CA28F196,42310,1500,,38.03944,-122.57,CA,Marin,S&PF,CALIFORNIA,City of San Rafael,NOVATO,A,3.53 inches,3 mph,144 degrees ,62 deg. F,65 deg. F ,78 % ,13.1 volts,11.3 (unk),115 degrees,6 mph,138 w/m2,17414417
-106.2925,37.33111,5,SAN LUIS VALLEY PORTABLE,17567535,2022/05/06 01:39:00+00,32941370,,9170,"SLV Portable is located on the Conejos Peak District, approximately 18.5 miles west northwest of La Jara, CO.",37.33111,-106.2925,CO,Conejos,USFS,02,RIO GRANDE NF,,A,0 inches,4 mph,230 degrees ,51 deg. F,48 deg. F ,22 % ,13 volts,4.7 (unk),318 degrees,14 mph,40 w/m2,17567535
-115.15186,43.1739200000001,6,DEER HAVEN,16824372,2022/05/02 22:44:59+00,3250E2AA,102711,5535,"ANOTHER NICE SOUTHERLY MID-SLOPE EXPOSURE.  ALL FINGER
RIDGES ARE RUNNING DUE SOUTH, TOWARDS THE SNAKE RIVER
DRAINAGE, WHICH YOU CAN SEE APPROX. 20 MILES AWAY.",43.17392,-115.15186,ID,Elmore,BLM,IDAHO,SHOSHONE,WASHINGTON D.C.,A,1.85 inches,17 mph,337 degrees ,43 deg. F,NO DATA,87 % ,13.8 volts,NO DATA,335 degrees,24 mph,345 w/m2,16824372
-85.27333,35.6819400000001,7,BLEDSOE SF,17394716,2022/03/15 13:05:59+00,0260427C,407102,1780,,35.68194,-85.27333,TN,Bledsoe,S&PF,TENNESSEE,DIVISION OF FORESTRY,Cumberland,1,16.85 inches,3 mph,134 degrees ,52 deg. F,NO DATA,53 % ,12.7 volts,NO DATA,137 degrees,10 mph,58 w/m2,17394716
-77.32307,34.8249900000001,8,HOFMANN FOREST,17274669,2022/03/15 13:11:00+00,3281B3D6,319507,42,Station is located in clearing of Pine Plantation,34.82499,-77.32307,NC,Onslow,S&PF,NORTH CAROLINA,DIV. OF FOREST RES.,D4 NEW BERN,1,6.65 inches,0 mph,81 degrees ,51 deg. F,54 deg. F ,90 % ,14.1 volts,21.7 (unk),168 degrees,0 mph,227 w/m2,17274669
-119.50585,37.2330700000001,9,NORTH FORK,17115983,2022/03/15 12:55:00+00,326CA64C,044204,2721,"Perennial grass, 2 - 3 ft. tall, with intermediate live &black oaks with ponderosa pine. Brush type is Manzanita &ceanothus.Annual temperature average: 20-110 degrees.Annual snow average: 1-2 ft.",37.23307,-119.50585,CA,Madera,USFS,05,SIERRA NF,BASS LAKE RD,1,18.83 inches,2 mph,332 degrees ,44 deg. F,40 deg. F ,77 % ,13 volts,15.9 (unk),356 degrees,6 mph,0 w/m2,17115983
-109.28583,39.46806,10,UPPER P.R. CANYON,16869943,2022/12/15 17:28:00+00,324CB4D4,421406,8269,"SAGE/CHEAT/SAGEBRUSH
STATION SITS HIGH ON TOP OF FINGER RIDGE ABOVE A CANYON
DROPPING OFF 100YDS. SOUTH OF STATION RIDGELINE AND CANYON
ARE RUNNING FROM N.W. TO S.E. AREA IS ROLLING HIGH DESERT,
SAGE.",39.46806,-109.28583,UT,Grand,BLM,R7 Upper CO Basin,VERNAL,WASHINGTON D.C.,A,2.37 inches,4 mph,334 degrees ,17 deg. F,NO DATA,82 % ,14.6 volts,NO DATA,343 degrees,8 mph,136 w/m2,16869943
