OBJECTID,elevation
1818,888.0
13108,1184.0
52366,1779.0
57710,1858.0
69625,840.0
82359,351.0
82366,43.0
82382,92.0
82394,414.0
82444,1716.0
82450,130.0
82458,115.0
82469,1319.0
82470,411.0
82496,17.0
82501,64.0
82517,706.0
82563,290.0
82567,124.0
82594,63.0
82595,6.0
82619,111.0
82645,81.0
82652,101.0
82659,492.0
82671,1905.0
82674,67.0
82688,94.0
82739,134.0
82759,2291.0
82762,134.0
82777,112.0
82799,1363.0
82800,93.0
82837,202.0
82854,3025.0
82865,137.0
82868,69.0
82876,110.0
82930,197.0
82941,953.0
82948,1818.0
82952,132.0
82970,112.0
83033,539.0
83043,146.0
83091,1406.0
83139,307.0
83160,1082.0
83187,119.0
83193,1672.0
83197,124.0
83263,1601.0
83292,59.0
83314,139.0
83323,288.0
83364,1803.0
83369,209.0
83387,89.0
83388,420.0
83452,122.0
83464,1391.0
83501,139.0
83505,1385.0
83514,110.0
83520,907.0
83525,749.0
83526,100.0
83570,2786.0
83575,90.0
83579,20.0
83590,112.0
83613,1170.0
83618,2349.0
83623,89.0
83657,1888.0
83671,1212.0
83696,130.0
83714,1483.0
83715,538.0
83724,117.0
83759,95.0
83767,100.0
83788,375.0
83799,457.0
83805,765.0
83806,1173.0
83824,653.0
83837,42.0
83840,20.0
83842,180.0
83849,1697.0
83850,1637.0
83884,10.0
83895,122.0
83909,469.0
83920,723.0
83942,1323.0
83943,1340.0
83956,120.0
83961,1371.0
83980,581.0
83995,1478.0
84006,479.0
84033,135.0
84053,612.0
84059,707.0
84071,78.0
84101,82.0
84105,365.0
84116,152.0
84132,135.0
84166,436.0
84200,431.0
84201,691.0
84203,120.0
84228,3235.0
84262,89.0
84264,1699.0
84265,1303.0
84320,65.0
84325,1788.0
84343,140.0
84352,40.0
84375,1489.0
84383,170.0
84412,96.0
84415,1436.0
84419,1440.0
84442,2353.0
84471,40.0
84481,244.0
84506,1729.0
84561,1353.0
84607,1270.0
84621,94.0
84632,1549.0
84671,1576.0
84676,1420.0
84681,1016.0
84691,84.0
84694,788.0
84716,285.0
84751,151.0
84770,108.0
84796,102.0
84833,96.0
84853,249.0
84886,86.0
84995,144.0
84997,131.0
85018,213.0
85022,118.0
85048,1432.0
85052,2011.0
85053,113.0
85058,1028.0
85076,51.0
85081,960.0
85129,1373.0
85133,199.0
85135,115.0
85145,45.0
85146,2118.0
85177,20.0
85187,1769.0
85190,1325.0
85214,127.0
85230,105.0
85234,70.0
85242,630.0
85271,71.0
85297,816.0
85306,48.0
85313,3077.0
85318,133.0
85326,124.0
85327,1479.0
85329,943.0
85358,2366.0
85365,1955.0
85373,96.0
85381,191.0
85382,112.0
85431,1234.0
85480,87.0
85490,345.0
85507,678.0
85525,123.0
85529,2354.0
85629,991.0
85654,1360.0
85674,266.0
85692,48.0
85711,115.0
85723,1071.0
85764,1924.0
85773,1728.0
85789,1395.0
85796,593.0
85816,15.0
85853,91.0
85868,161.0
85909,1888.0
85910,136.0
85922,1299.0
85979,279.0
85984,184.0
85986,86.0
85989,558.0
86015,2283.0
86051,765.0
86052,100.0
86056,15.0
86072,103.0
86088,463.0
86122,180.0
86143,99.0
86175,111.0
86199,2603.0
86234,634.0
86257,2317.0
86262,113.0
86303,97.0
86308,144.0
86319,1589.0
86324,1913.0
86330,861.0
86337,124.0
86343,70.0
86351,92.0
86356,749.0
86368,418.0
86403,1456.0
86408,369.0
86420,155.0
86429,1274.0
86450,2057.0
86460,1320.0
86494,1820.0
86545,3.0
86581,147.0
86589,103.0
86591,1970.0
86619,97.0
86646,2212.0
86650,1545.0
86651,79.0
86655,216.0
86669,1687.0
86672,64.0
86685,1234.0
86722,178.0
86750,1261.0
86787,89.0
86807,112.0
86832,137.0
86850,83.0
86860,125.0
86885,431.0
86897,307.0
86919,1346.0
86934,119.0
86946,100.0
86947,811.0
86952,1412.0
86972,117.0
86977,1982.0
86982,1815.0
87001,1681.0
87009,1967.0
87015,1512.0
87042,362.0
87044,1706.0
87054,92.0
87100,168.0
87117,2447.0
87186,101.0
87192,109.0
87199,31.0
87215,218.0
87254,124.0
87262,19.0
87272,1404.0
87305,119.0
87321,207.0
87340,48.0
87356,90.0
87364,1295.0
87380,2585.0
87381,319.0
87420,74.0
87434,2707.0
87450,166.0
87480,2537.0
87500,115.0
87522,154.0
87548,1808.0
87571,1324.0
87589,942.0
87595,69.0
87611,142.0
87615,62.0
87666,145.0
87667,153.0
87706,1173.0
87718,502.0
87734,122.0
87746,100.0
87751,924.0
87765,1799.0
87799,208.0
87803,991.0
87806,1964.0
87812,357.0
87813,545.0
87816,1409.0
87837,1863.0
87846,678.0
87864,106.0
87872,71.0
87901,566.0
87907,74.0
87908,176.0
87963,2998.0
87966,773.0
88022,163.0
88023,743.0
88025,178.0
88045,1077.0
88046,100.0
88053,172.0
88082,767.0
88125,752.0
88186,56.0
88188,2500.0
88228,73.0
88253,164.0
88261,1697.0
88272,92.0
88275,232.0
88283,1429.0
88287,119.0
88289,1626.0
88308,117.0
88330,174.0
88331,2035.0
88373,1146.0
88386,696.0
88388,312.0
88404,162.0
88437,127.0
88453,198.0
88454,1255.0
88465,93.0
88507,1101.0
88531,115.0
88577,60.0
88606,2604.0
88631,570.0
88637,404.0
88641,315.0
88695,1657.0
88699,232.0
88709,778.0
88750,101.0
88799,706.0
88807,943.0
88815,181.0
88836,555.0
88856,82.0
88859,2209.0
88865,149.0
88872,105.0
88880,144.0
88885,118.0
88905,1768.0
88911,825.0
88942,1030.0
88957,1144.0
88970,79.0
88980,99.0
88990,64.0
88994,2703.0
89093,938.0
89112,1430.0
89121,66.0
89124,2689.0
89136,132.0
89137,1245.0
89151,1353.0
89158,124.0
89181,931.0
89195,94.0
89197,81.0
