X,Y,OBJECTID,FireMgmtComplexity,DispatchCenterID,GACC,POOCounty,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOState,site,total_solar_radiation_ly,ave_mean_wind_speed_mph,ave_mean_wind_direction_deg,max_maximum_wind_gust_mph,ave_average_air_temperature_deg_f,ave_average_relative_humidity,total_precipitation_in,elevation
-121.60461478299999,47.638905698,1818,Type 4 Incident,WAPSC,NWCC,King,53033,USFS,WAMSF,US-WA,3260924A,185.62264150943398,2.5492452830188674,119.79245283018868,15.160377358490566,48.0622641509434,75.69811320754717,0.14264150943396228,888.0
-117.058714221,48.648346255,13108,Type 4 Incident,IDCDC,NRCC,Pend Oreille,53051,USFS,IDIPF,US-WA,327416FA,269.71264367816093,2.0820114942528734,273.5689655172414,12.637931034482758,45.938505747126435,74.1264367816092,0.047528735632183905,1184.0
-122.05031397,43.363345392,52366,Type 3 Incident,ORRICC,NWCC,Douglas,41019,USFS,ORUPF,US-OR,3237F1DA,267.3101604278075,3.1765240641711228,207.0427807486631,15.53475935828877,44.71871657754011,70.73262032085562,0.10058823529411766,1779.0
-120.684914708,47.963555817,57710,Type 5 Incident,WACWC,NWCC,Chelan,53007,USFS,WAOWF,US-WA,323807CC,145.61052631578949,1.5981052631578947,176.89473684210526,13.410526315789474,41.57157894736842,75.06315789473685,0.08852631578947369,1858.0
-120.897614724,47.8823157890001,69625,Type 5 Incident,WACWC,NWCC,Chelan,53007,USFS,WAOWF,US-WA,323807CC,210.19354838709677,1.7766129032258062,185.8951612903226,14.03225806451613,47.50887096774192,69.89516129032258,0.06862903225806452,840.0
-91.96179653199991,36.834646723,82359,Type 4 Incident,MOMOC,EACC,Howell,29091,USFS,MOMTF,US-MO,AAC3D336,422.1666666666667,5.555,162.33333333333334,24.333333333333332,60.650000000000006,61.333333333333336,0.28833333333333333,351.0
-94.251706774,31.014322159000102,82366,Type 5 Incident,TXTIC,SACC,Tyler,48457,SFS,TXTXS,US-TX,32888010,386.0,2.88,193.0,15.0,58.3,54.0,0.0,43.0
-95.51760710699992,31.129305468000002,82382,Type 5 Incident,TXTIC,SACC,Houston,48225,SFS,TXTXS,US-TX,88414686,423.6666666666667,5.359999999999999,131.33333333333334,18.666666666666668,57.4,67.0,0.0,92.0
-99.185791452,32.7587556290001,82394,Type 5 Incident,TXTIC,SACC,Shackelford,48417,SFS,TXTXS,US-TX,8841D3E4,521.0,6.390000000000001,128.33333333333334,20.666666666666668,83.99999999999999,60.333333333333336,0.0,414.0
-115.748812463,40.617505716,82444,Type 4 Incident,NVEIC,GBCC,Elko,32007,,,US-NV,325BB17E,564.9066666666666,7.073333333333333,263.5466666666667,27.217333333333336,70.74,22.8,0.005066666666666667,1716.0
