,Location ,Latitude ,NESS ID ,Longitude ,NWS ID ,Elevation ,Agency 
NSCK,Sand Creek North Dakota,"46° 32' 44""",32553302,"103° 31' 06""",323804,2700 ft.,BLM
WSND,Sand Island Wisconsin,"47° 00' 11""",3275B4F8,"90° 56' 11""",,615 ft.,NPS
XBEW,Bear Wallow New Mexico,"33° 27' 18""",326C15C2,"108° 39' 54""",292010,9953 ft.,USFS
CLOS,Los Pinos Creek Colorado,"38° 12' 48""",,"106° 45' 27""",,9600 ft.,
HLUA,Lua Makika Hawaii,"20° 33' 45""",327906EA,"156° 33' 47""",,1100 ft.,S&amp;PF
SCIP,Scipio Valley,"39° 19' 11""",,"112° 08' 23""",,5400 ft.,
MRCA,Rachel Carson Maine,"43° 20' 50""",83753278,"70° 32' 51""",171603,20 ft.,FWS
CGRA,Granite Mountain California,"34° 32' 08""",325254D0,"117° 01' 33""",045124,4720 ft.,BLM
OGRN,Green Mountain Oregon,"43° 43' 31""",60002482,"122° 48' 20""",352562,3064 ft.,S&amp;PF
TCEH,Cedar Hill SP Texas,"32° 36' 33""",884116FA,"96° 59' 35""",419701,520 ft.,S&amp;PF
VWOO,Woodford State Park Vermont,"42° 53' 25""",3335A5F0,"73° 02' 06""",431303,2317 ft.,USFS
PFTR,Forney Trail Pennsylvania,"39° 59' 36""",,"77° 57' 31""",,1002 ft.,
ODUN,Dunes Oregon,"43° 57' 28""",32489702,"124° 07' 11""",352559,20 ft.,USFS
CSIV,Simi Valley California,"34° 17' 28""",CA26F5FE,"118° 48' 52""",045317,914 ft.,S&amp;PF
OBLR,Blue Ridge Oregon,"45° 30' 27""",32406DF2,"121° 43' 08""",350811,3780 ft.,USFS
XMAL,Malpias Lava Flow New Mexico,"34° 54' 00""",324B837A,"108° 05' 45""",293301,7460 ft.,BLM
NREN,Rendezvous Mtn North Carolina,"36° 13' 39""",4070A6E0,"81° 17' 51""",312001,2384 ft.,S&amp;PF
WCRA,Crandall Wyoming,"44° 51' 01""",32353130,"109° 36' 41""",480213,6612 ft.,USFS
OFAL,Fall Mountain Oregon,"44° 17' 38""",3262F258,"119° 02' 00""",352327,5949 ft.,USFS
CRAT,Crater Knoll - Beaver 14NNW Utah,"38° 27' 57""",,"112° 42' 55""",422204,7170 ft.,BLM
CSEC,Secret Town California,"39° 11' 01""",CA21815A,"120° 53' 05""",041808,2826 ft.,S&amp;PF
